# Description: Detailed error analysis for the Hybrid (ARIMA-LSTM) model on the test set.
# Includes raw error, percentage error, and directional accuracy.
Date,Actual,Predicted,Raw_Error,Percentage_Error,Actual_Direction,Predicted_Direction,Directional_Accuracy
2022-07-22,0.0565508568008171,0.04227424299748211,-0.01427661380333499,-25.24561891894927,Down,Down,1
2022-07-22,0.0565508568008171,0.04227424299748211,-0.01427661380333499,-25.24561891894927,Down,Down,1
2022-07-25,0.055756357221477,0.04227424299748211,-0.013482114223994895,-24.180407214267703,Down,Down,1
2022-07-25,0.055756357221477,0.04227424299748211,-0.013482114223994895,-24.180407214267703,Down,Down,1
2022-07-26,0.0537600439457122,0.04227424299748211,-0.011485800948230096,-21.364939656352682,Down,Down,1
2022-07-26,0.0537600439457122,0.04227424299748211,-0.011485800948230096,-21.364939656352682,Up,Down,0
2022-07-27,0.0570881639726582,0.04227424299748211,-0.014813920975176094,-25.949198475311047,Down,Down,1
2022-07-27,0.0570881639726582,0.04227424299748211,-0.014813920975176094,-25.949198475311047,Up,Down,0
2022-07-28,0.0583560146754572,0.04227424299748211,-0.016081771677975094,-27.558036249412705,Down,Down,1
2022-07-28,0.0583560146754572,0.04227424299748211,-0.016081771677975094,-27.558036249412705,Up,Down,0
2022-07-29,0.0617446033961075,0.04227424299748211,-0.019470360398625396,-31.53370388294185,Down,Down,1
2022-07-29,0.0617446033961075,0.04227424299748211,-0.019470360398625396,-31.53370388294185,Up,Down,0
2022-08-01,0.0617710194714144,0.04227424299748211,-0.01949677647393229,-31.56298316066284,Down,Down,1
2022-08-01,0.0617710194714144,0.04227424299748211,-0.01949677647393229,-31.56298316066284,Up,Down,0
2022-08-02,0.0624612484186409,0.04227424299748211,-0.02018700542115879,-32.31924742499094,Down,Down,1
2022-08-02,0.0624612484186409,0.04227424299748211,-0.02018700542115879,-32.31924742499094,Up,Down,0
2022-08-03,0.0638813272441612,0.04227424299748211,-0.0216070842466791,-33.82378729248147,Down,Down,1
2022-08-03,0.0638813272441612,0.04227424299748211,-0.0216070842466791,-33.82378729248147,Up,Down,0
2022-08-04,0.0641392069405384,0.04227424299748211,-0.021864963943056294,-34.08985702509024,Down,Down,1
2022-08-04,0.0641392069405384,0.04227424299748211,-0.021864963943056294,-34.08985702509024,Down,Down,1
2022-08-05,0.059872021209765,0.04227424299748211,-0.017597778212282894,-29.39232358738665,Down,Down,1
2022-08-05,0.059872021209765,0.04227424299748211,-0.017597778212282894,-29.39232358738665,Up,Down,0
2022-08-08,0.0603419040699037,0.04227424299748211,-0.018067661072421595,-29.942146093850347,Down,Down,1
2022-08-08,0.0603419040699037,0.04227424299748211,-0.018067661072421595,-29.942146093850347,Down,Down,1
2022-08-09,0.0588634375086712,0.04227424299748211,-0.016589194511189093,-28.182510592836735,Down,Down,1
