Date,Interest_Rate_Federal_Funds,GDP_Real,CPI_All_Items,GDP_Growth_Rate_YoY,Inflation_Rate_CPI_YoY
1955-06-01,1.64,,26.71,1.627544983921192,-0.8537490720118779
1955-07-01,1.68,3111.379,26.76,3.000351568784665,-0.37230081906179935
1955-08-01,1.96,,26.72,1.3508213595838425,-0.484171322160154
1955-09-01,2.18,,26.85,1.3508213595838425,0.14919806042521522
1955-10-01,2.24,3130.068,26.82,1.9596014215400581,0.37425149700598404
1955-11-01,2.35,,26.88,0.600666135498118,0.37341299477220424
1955-12-01,2.48,,26.87,0.600666135498118,0.37355248412402897
1956-01-01,2.45,3117.922,26.83,0.2102926065902011,0.22413149047439962
1956-02-01,2.5,,26.86,-0.38804268789048857,0.1491424310216205
1956-03-01,2.5,,26.89,-0.38804268789048857,0.3732736095558131
1956-04-01,2.62,3143.694,26.93,0.435326005697001,0.5225830533781339
1956-05-01,2.75,,27.03,0.8265761619437484,0.9712364587224576
1956-06-01,2.71,,27.15,0.8265761619437484,1.647323099962561
1956-07-01,2.75,3140.874,27.29,0.7361313079672804,1.9805680119581393
1956-08-01,2.73,,27.31,-0.08970338716173254,2.208083832335328
1956-09-01,2.95,,27.35,-0.08970338716173254,1.862197392923659
1956-10-01,2.96,3192.57,27.51,1.5547314719562388,2.572706935123037
1956-11-01,2.88,,27.51,1.645911297301339,2.34375
1956-12-01,2.94,,27.63,1.645911297301339,2.828433196873825
1957-01-01,2.84,3213.011,27.67,2.296717410504212,3.130823704808061
1957-02-01,3.0,,27.8,0.6402678719652055,3.4996276991809516
1957-03-01,2.96,,27.86,0.6402678719652055,3.607288955001864
1957-04-01,3.0,3205.97,27.93,0.41972454793473,3.713330857779429
1957-05-01,3.0,,28.0,-0.21914023948252925,3.588605253422128
1957-06-01,3.0,,28.11,-0.21914023948252925,3.53591160220994
1957-07-01,2.99,3237.386,28.19,0.7586341907948713,3.2979113228288837
1957-08-01,3.24,,28.28,0.9799218333296889,3.551812522885389
1957-09-01,3.47,,28.32,0.9799218333296889,3.546617915904937
1957-10-01,3.5,3203.894,28.32,-0.06475419295876028,2.944383860414379
1957-11-01,3.28,,28.41,-1.0345383590341206,3.271537622682663
1957-12-01,2.98,,28.47,-1.0345383590341206,3.0401737242128135
1958-01-01,2.72,3120.724,28.64,-3.6035863502220544,3.5056017347307566
1958-02-01,1.67,,28.7,-2.595903609794814,3.237410071942448
1958-03-01,1.2,,28.87,-2.595903609794814,3.6252692031586653
1958-04-01,1.26,3141.224,28.94,-1.9560572228669137,3.6161833154314316
1958-05-01,0.63,,28.94,0.6568988478314663,3.3571428571428585
1958-06-01,0.93,,28.91,0.6568988478314663,2.8459622909996485
1958-07-01,0.68,3213.884,28.89,2.9852047153160477,2.483150053210359
1958-08-01,1.53,,28.94,2.3131110675329136,2.333804809052342
1958-09-01,1.76,,28.91,2.3131110675329136,2.083333333333326
1958-10-01,1.8,3289.032,28.91,4.705426929120615,2.083333333333326
1958-11-01,2.27,,28.95,2.3382300045676763,1.9007391763463444
1958-12-01,2.42,,28.97,2.3382300045676763,1.7562346329469625
1959-01-01,2.48,3352.129,29.01,4.301493146610147,1.2918994413407825
1959-02-01,2.43,,29.0,1.9184063882625502,1.0452961672473782
1959-03-01,2.8,,28.97,1.9184063882625502,0.3463803255975062
1959-04-01,2.96,3427.667,28.98,4.215069965874441,0.13821700069107656
1959-05-01,2.9,,29.04,2.2534335641617664,0.3455425017277136
1959-06-01,3.39,,29.11,2.2534335641617664,0.6918021445866396
1959-07-01,3.47,3430.057,29.15,2.3247315362863397,0.8999653859466772
1959-08-01,3.5,,29.18,0.06972672666276658,0.8293020041465038
1959-09-01,3.76,,29.25,0.06972672666276658,1.1760636457972984
1959-10-01,3.98,3439.832,29.35,0.3549061212772431,1.5219647180906293
1959-11-01,4.0,,29.35,0.28498068690987477,1.3816925734024155
1959-12-01,3.99,,29.41,0.28498068690987477,1.5188125647221273
1960-01-01,3.99,3517.181,29.37,2.5400160988578335,1.2409513960703222
1960-02-01,3.97,,29.41,2.2486272585405365,1.4137931034482687
1960-03-01,3.84,,29.41,2.2486272585405365,1.5188125647221273
1960-04-01,3.92,3498.246,29.54,1.698164328955598,1.9323671497584405
1960-05-01,3.85,,29.57,-0.5383572810156778,1.8250688705234275
1960-06-01,3.32,,29.61,-0.5383572810156778,1.7176228100309165
1960-07-01,3.23,3515.385,29.55,-0.05106362169020606,1.3722126929674117
1960-08-01,2.98,,29.61,0.4899312398270572,1.473612063056895
1960-09-01,2.6,,29.61,0.4899312398270572,1.2307692307692353
1960-10-01,2.47,3470.278,29.75,-0.7994863711700217,1.3628620102214661
1960-11-01,2.44,,29.78,-1.283131150642114,1.4650766609880739
1960-12-01,1.98,,29.81,-1.283131150642114,1.3600816048962905
1961-01-01,1.45,3493.703,29.84,-0.6167745495870403,1.6002723867892366
1961-02-01,2.54,,29.84,0.6750179668602918,1.4620877252635056
1961-03-01,2.02,,29.84,0.6750179668602918,1.4620877252635056
1961-04-01,1.49,3553.021,29.81,2.3843334741481925,0.9140148950575577
1961-05-01,1.98,,29.84,1.6978546831256214,0.9130875887723988
